tanggal,mode_transportasi,rute,jumlah_penumpang,tarif_rata_rata,total_pendapatan,status_operasional,hari,hari_dalam_minggu,bulan,jam,hari_indo,kategori_waktu
2026-01-01 19:42:00,LRT Jakarta,Velodrome - Pegangsaan Dua,90,5000,450000,Normal,Thursday,3,January,19,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 09:39:00,LRT Jakarta,Velodrome - Pegangsaan Dua,150,5000,750000,Normal,Thursday,3,January,9,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 17:37:00,MRT Jakarta,Lebak Bulus - Bundaran HI,217,7000,1519000,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 07:50:00,LRT Jakarta,Velodrome - Pegangsaan Dua,110,5000,550000,Gangguan,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 17:06:00,TransJakarta,Koridor 13 (Ciledug - Tendean),49,3500,171500,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 07:07:00,LRT Jakarta,Velodrome - Pegangsaan Dua,99,5000,495000,Terlambat,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 16:05:00,MRT Jakarta,Lebak Bulus - Bundaran HI,76,14000,1064000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 18:30:00,MRT Jakarta,Lebak Bulus - Bundaran HI,300,3000,900000,Normal,Thursday,3,January,18,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 09:15:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),80,3500,280000,Terlambat,Thursday,3,January,9,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 08:44:00,TransJakarta,Koridor 1 (Blok M - Kota),80,3500,280000,Gangguan,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 17:16:00,TransJakarta,Koridor 13 (Ciledug - Tendean),80,3500,280000,Terlambat,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 18:08:00,MRT Jakarta,Bundaran HI - Lebak Bulus,300,7000,2100000,Normal,Thursday,3,January,18,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 09:34:00,LRT Jakarta,Velodrome - Pegangsaan Dua,150,5000,750000,Normal,Thursday,3,January,9,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 17:04:00,LRT Jakarta,Velodrome - Pegangsaan Dua,60,5000,300000,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 13:14:00,LRT Jakarta,Pegangsaan Dua - Velodrome,22,5000,110000,Normal,Thursday,3,January,13,Kamis,Off-Peak
2026-01-01 12:29:00,TransJakarta,Koridor 1 (Blok M - Kota),20,3500,70000,Normal,Thursday,3,January,12,Kamis,Off-Peak
2026-01-01 08:12:00,LRT Jakarta,Pegangsaan Dua - Velodrome,81,5000,405000,Terlambat,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 15:05:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),25,3500,87500,Normal,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 13:57:00,MRT Jakarta,Lebak Bulus - Bundaran HI,103,4000,412000,Normal,Thursday,3,January,13,Kamis,Off-Peak
2026-01-01 17:38:00,TransJakarta,Koridor 1 (Blok M - Kota),57,3500,199500,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 16:41:00,MRT Jakarta,Bundaran HI - Lebak Bulus,96,7000,672000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 20:51:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),28,3500,98000,Normal,Thursday,3,January,20,Kamis,Off-Peak
2026-01-01 07:55:00,LRT Jakarta,Pegangsaan Dua - Velodrome,112,5000,560000,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 15:01:00,TransJakarta,Koridor 1 (Blok M - Kota),58,3500,203000,Normal,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 15:54:00,MRT Jakarta,Lebak Bulus - Bundaran HI,177,7000,1239000,Normal,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 13:47:00,MRT Jakarta,Lebak Bulus - Bundaran HI,100,4000,400000,Normal,Thursday,3,January,13,Kamis,Off-Peak
2026-01-01 15:58:00,TransJakarta,Koridor 13 (Ciledug - Tendean),31,3500,108500,Normal,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 18:39:00,LRT Jakarta,Velodrome - Pegangsaan Dua,150,5000,750000,Terlambat,Thursday,3,January,18,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 09:24:00,TransJakarta,Koridor 13 (Ciledug - Tendean),80,3500,280000,Normal,Thursday,3,January,9,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 14:59:00,MRT Jakarta,Lebak Bulus - Bundaran HI,108,14000,1512000,Terlambat,Thursday,3,January,14,Kamis,Off-Peak
2026-01-01 17:54:00,TransJakarta,Koridor 1 (Blok M - Kota),80,3500,280000,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 17:51:00,MRT Jakarta,Lebak Bulus - Bundaran HI,160,4000,640000,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 09:24:00,MRT Jakarta,Bundaran HI - Lebak Bulus,300,10000,3000000,Normal,Thursday,3,January,9,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 12:47:00,TransJakarta,Koridor 1 (Blok M - Kota),42,3500,147000,Normal,Thursday,3,January,12,Kamis,Off-Peak
2026-01-01 15:32:00,LRT Jakarta,Pegangsaan Dua - Velodrome,106,5000,530000,Normal,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 20:50:00,MRT Jakarta,Lebak Bulus - Bundaran HI,159,10000,1590000,Normal,Thursday,3,January,20,Kamis,Off-Peak
2026-01-01 14:32:00,MRT Jakarta,Bundaran HI - Lebak Bulus,60,3000,180000,Normal,Thursday,3,January,14,Kamis,Off-Peak
2026-01-01 19:52:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),80,3500,280000,Normal,Thursday,3,January,19,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 10:52:00,TransJakarta,Koridor 1 (Blok M - Kota),22,3500,77000,Normal,Thursday,3,January,10,Kamis,Off-Peak
2026-01-01 09:41:00,LRT Jakarta,Velodrome - Pegangsaan Dua,127,5000,635000,Normal,Thursday,3,January,9,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 08:46:00,MRT Jakarta,Lebak Bulus - Bundaran HI,300,14000,4200000,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 16:47:00,TransJakarta,Koridor 1 (Blok M - Kota),20,3500,70000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 08:23:00,MRT Jakarta,Bundaran HI - Lebak Bulus,300,10000,3000000,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 06:50:00,MRT Jakarta,Lebak Bulus - Bundaran HI,233,7000,1631000,Normal,Thursday,3,January,6,Kamis,Off-Peak
2026-01-01 06:24:00,LRT Jakarta,Pegangsaan Dua - Velodrome,37,5000,185000,Normal,Thursday,3,January,6,Kamis,Off-Peak
2026-01-01 13:36:00,LRT Jakarta,Velodrome - Pegangsaan Dua,71,5000,355000,Normal,Thursday,3,January,13,Kamis,Off-Peak
2026-01-01 07:44:00,TransJakarta,Koridor 13 (Ciledug - Tendean),80,3500,280000,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 13:29:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),15,3500,52500,Normal,Thursday,3,January,13,Kamis,Off-Peak
2026-01-01 16:25:00,LRT Jakarta,Velodrome - Pegangsaan Dua,27,5000,135000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 08:53:00,TransJakarta,Koridor 13 (Ciledug - Tendean),80,3500,280000,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 19:38:00,TransJakarta,Koridor 1 (Blok M - Kota),80,3500,280000,Normal,Thursday,3,January,19,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 07:21:00,MRT Jakarta,Lebak Bulus - Bundaran HI,183,4000,732000,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 17:51:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),51,3500,178500,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 06:53:00,TransJakarta,Koridor 13 (Ciledug - Tendean),47,3500,164500,Normal,Thursday,3,January,6,Kamis,Off-Peak
2026-01-01 15:57:00,LRT Jakarta,Velodrome - Pegangsaan Dua,96,5000,480000,Normal,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 06:31:00,LRT Jakarta,Velodrome - Pegangsaan Dua,89,5000,445000,Normal,Thursday,3,January,6,Kamis,Off-Peak
2026-01-01 15:32:00,MRT Jakarta,Bundaran HI - Lebak Bulus,166,14000,2324000,Normal,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 08:11:00,LRT Jakarta,Velodrome - Pegangsaan Dua,150,5000,750000,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 16:16:00,LRT Jakarta,Velodrome - Pegangsaan Dua,99,5000,495000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 12:57:00,LRT Jakarta,Pegangsaan Dua - Velodrome,45,5000,225000,Normal,Thursday,3,January,12,Kamis,Off-Peak
2026-01-01 16:56:00,TransJakarta,Koridor 1 (Blok M - Kota),50,3500,175000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 07:48:00,LRT Jakarta,Velodrome - Pegangsaan Dua,56,5000,280000,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 17:48:00,MRT Jakarta,Lebak Bulus - Bundaran HI,206,7000,1442000,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 08:18:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),80,3500,280000,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 07:06:00,TransJakarta,Koridor 13 (Ciledug - Tendean),79,3500,276500,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 08:24:00,TransJakarta,Koridor 1 (Blok M - Kota),80,3500,280000,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 16:38:00,TransJakarta,Koridor 13 (Ciledug - Tendean),16,3500,56000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 17:42:00,TransJakarta,Koridor 13 (Ciledug - Tendean),77,3500,269500,Terlambat,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 17:16:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),65,3500,227500,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 16:04:00,MRT Jakarta,Bundaran HI - Lebak Bulus,98,4000,392000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 17:16:00,TransJakarta,Koridor 1 (Blok M - Kota),64,3500,224000,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 10:25:00,MRT Jakarta,Bundaran HI - Lebak Bulus,94,7000,658000,Normal,Thursday,3,January,10,Kamis,Off-Peak
2026-01-01 14:19:00,MRT Jakarta,Lebak Bulus - Bundaran HI,91,10000,910000,Normal,Thursday,3,January,14,Kamis,Off-Peak
2026-01-01 09:48:00,MRT Jakarta,Bundaran HI - Lebak Bulus,162,7000,1134000,Normal,Thursday,3,January,9,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 20:44:00,MRT Jakarta,Lebak Bulus - Bundaran HI,77,14000,1078000,Normal,Thursday,3,January,20,Kamis,Off-Peak
2026-01-01 20:17:00,LRT Jakarta,Pegangsaan Dua - Velodrome,57,5000,285000,Normal,Thursday,3,January,20,Kamis,Off-Peak
2026-01-01 22:53:00,LRT Jakarta,Pegangsaan Dua - Velodrome,59,5000,295000,Normal,Thursday,3,January,22,Kamis,Off-Peak
2026-01-01 15:07:00,MRT Jakarta,Lebak Bulus - Bundaran HI,137,7000,959000,Normal,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 16:16:00,TransJakarta,Koridor 13 (Ciledug - Tendean),40,3500,140000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 07:05:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),42,3500,147000,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 10:55:00,LRT Jakarta,Pegangsaan Dua - Velodrome,44,5000,220000,Normal,Thursday,3,January,10,Kamis,Off-Peak
2026-01-01 12:46:00,MRT Jakarta,Bundaran HI - Lebak Bulus,90,7000,630000,Normal,Thursday,3,January,12,Kamis,Off-Peak
2026-01-01 17:12:00,MRT Jakarta,Bundaran HI - Lebak Bulus,248,10000,2480000,Terlambat,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 16:09:00,LRT Jakarta,Pegangsaan Dua - Velodrome,121,5000,605000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 07:50:00,MRT Jakarta,Bundaran HI - Lebak Bulus,272,10000,2720000,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 06:57:00,LRT Jakarta,Velodrome - Pegangsaan Dua,54,5000,270000,Normal,Thursday,3,January,6,Kamis,Off-Peak
2026-01-01 17:53:00,LRT Jakarta,Velodrome - Pegangsaan Dua,130,5000,650000,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 15:10:00,TransJakarta,Koridor 1 (Blok M - Kota),44,3500,154000,Normal,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 15:17:00,MRT Jakarta,Lebak Bulus - Bundaran HI,138,7000,966000,Normal,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 08:41:00,LRT Jakarta,Velodrome - Pegangsaan Dua,147,5000,735000,Terlambat,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 17:16:00,MRT Jakarta,Lebak Bulus - Bundaran HI,275,7000,1925000,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 08:50:00,LRT Jakarta,Pegangsaan Dua - Velodrome,135,5000,675000,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 07:07:00,LRT Jakarta,Pegangsaan Dua - Velodrome,88,5000,440000,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 20:57:00,LRT Jakarta,Pegangsaan Dua - Velodrome,71,5000,355000,Normal,Thursday,3,January,20,Kamis,Off-Peak
2026-01-01 09:21:00,MRT Jakarta,Lebak Bulus - Bundaran HI,217,4000,868000,Normal,Thursday,3,January,9,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 16:08:00,MRT Jakarta,Lebak Bulus - Bundaran HI,52,7000,364000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 18:16:00,MRT Jakarta,Bundaran HI - Lebak Bulus,296,4000,1184000,Normal,Thursday,3,January,18,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 12:25:00,LRT Jakarta,Velodrome - Pegangsaan Dua,87,5000,435000,Normal,Thursday,3,January,12,Kamis,Off-Peak
2026-01-01 07:58:00,MRT Jakarta,Bundaran HI - Lebak Bulus,290,7000,2030000,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 11:34:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),31,3500,108500,Normal,Thursday,3,January,11,Kamis,Off-Peak
2026-01-01 08:38:00,LRT Jakarta,Pegangsaan Dua - Velodrome,98,5000,490000,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 15:03:00,TransJakarta,Koridor 1 (Blok M - Kota),17,3500,59500,Normal,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 14:21:00,MRT Jakarta,Bundaran HI - Lebak Bulus,106,4000,424000,Normal,Thursday,3,January,14,Kamis,Off-Peak
2026-01-01 15:33:00,MRT Jakarta,Lebak Bulus - Bundaran HI,143,7000,1001000,Normal,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 05:20:00,TransJakarta,Koridor 1 (Blok M - Kota),17,3500,59500,Normal,Thursday,3,January,5,Kamis,Off-Peak
2026-01-01 08:54:00,MRT Jakarta,Lebak Bulus - Bundaran HI,257,3000,771000,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 17:19:00,TransJakarta,Koridor 13 (Ciledug - Tendean),80,3500,280000,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 17:01:00,MRT Jakarta,Bundaran HI - Lebak Bulus,300,7000,2100000,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 20:03:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),13,3500,45500,Normal,Thursday,3,January,20,Kamis,Off-Peak
2026-01-01 08:36:00,MRT Jakarta,Lebak Bulus - Bundaran HI,274,14000,3836000,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 09:55:00,LRT Jakarta,Pegangsaan Dua - Velodrome,150,5000,750000,Normal,Thursday,3,January,9,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 16:10:00,TransJakarta,Koridor 1 (Blok M - Kota),24,3500,84000,Normal,Thursday,3,January,16,Kamis,Off-Peak
